Key,en,es,ar
Verification code sended to your email address.,Verification code sended to your email address.,Código de verificación enviado a su dirección de correo electrónico.,تم إرسال رمز التحقق إلى عنوان بريدك الإلكتروني.
Password Reset Token Expired,Password Reset Token Expired,El token de restablecimiento de contraseña expiró,انتهت صلاحية رمز إعادة تعيين كلمة المرور
Session expired. Please try again.,Session expired. Please try again.,La sesión expiró. Por favor inténtalo de nuevo.,انتهت صلاحية الجلسة. يرجى المحاولة مرة أخرى.
Something went wrong. please try again,Something went wrong. please try again,Algo salió mal. por favor inténtalo de nuevo,حدث خطأ ما. يرجى المحاولة مرة أخرى
Verification code resend success!,Verification code resend success!,¡El reenvío del código de verificación fue exitoso!,تمت إعادة إرسال رمز التحقق بنجاح!
Password reset success. Please login with new password.,Password reset success. Please login with new password.,Restablecimiento de contraseña exitoso. Por favor inicie sesión con una nueva contraseña.,نجاح إعادة تعيين كلمة المرور. الرجاء تسجيل الدخول بكلمة المرور الجديدة.
Your account has been suspended!,Your account has been suspended!,¡Tu cuenta ha sido suspendida!,لقد تم تعليق حسابك!
Failed to save data. Please try again,Failed to save data. Please try again,No se pudieron guardar los datos. Por favor inténtalo de nuevo,فشل في حفظ البيانات. يرجى المحاولة مرة أخرى
Invalid request,Invalid request,Solicitud no válida,طلب غير صالح
Request token is invalid!,Request token is invalid!,¡El token de solicitud no es válido!,رمز الطلب غير صالح!
Invalid otp code,Invalid otp code,código otp no válido,رمز OTP غير صالح
Mail OTP Resend Success!,Mail OTP Resend Success!,¡Reenvío de OTP por correo exitoso!,نجاح إعادة إرسال البريد OTP!
Security Setting Updated Successfully!,Security Setting Updated Successfully!,¡Configuración de seguridad actualizada exitosamente!,تم تحديث إعداد الأمان بنجاح!
Password Changed successfully login again!,Password Changed successfully login again!,Contraseña cambiada exitosamente ¡Inicie sesión nuevamente!,تم تغيير كلمة المرور بنجاح قم بتسجيل الدخول مرة أخرى!
New password & confirm password is not same!,New password & confirm password is not same!,¡Nueva contraseña y confirmación de contraseña no son lo mismo!,كلمة المرور الجديدة وتأكيد كلمة المرور ليسا نفس الشيء!
Password not updated!,Password not updated!,¡Contraseña no actualizada!,لم يتم تحديث كلمة المرور!
Oops! Failed to upload attachment. Please try again.,Oops! Failed to upload attachment. Please try again.,¡Ups! No se pudo cargar el archivo adjunto. Por favor inténtalo de nuevo.,أُووبس! فشل تحميل المرفق. يرجى المحاولة مرة أخرى.
Support ticket created successfully!,Support ticket created successfully!,¡Ticket de soporte creado exitosamente!,تم إنشاء تذكرة الدعم بنجاح!
Your account is not activated check mail inbox/spam.,Your account is not activated check mail inbox/spam.,Tu cuenta no está activada revisa tu bandeja de entrada/spam.,لم يتم تنشيط حسابك، تحقق من البريد الوارد/البريد العشوائي.
Email-Address And Password Are Wrong.,Email-Address And Password Are Wrong.,La dirección de correo electrónico y la contraseña son incorrectas.,عنوان البريد الإلكتروني وكلمة المرور خاطئان.
Invalid Request!,Invalid Request!,¡Solicitud no válida!,طلب غير صالح!
Payment gateway currency is invalid!,Payment gateway currency is invalid!,¡La moneda de la pasarela de pago no es válida!,عملة بوابة الدفع غير صالحة!
This gateway is temporary pause or under maintenance!,This gateway is temporary pause or under maintenance!,¡Esta puerta de enlace está en pausa temporal o en mantenimiento!,هذه البوابة متوقفة مؤقتا أو تحت الصيانة!
Your wallet balance is insufficient!,Your wallet balance is insufficient!,¡El saldo de tu billetera es insuficiente!,رصيد محفظتك غير كافي!
Your Profit balance is insufficient!,Your Profit balance is insufficient!,¡Su saldo de ganancias es insuficiente!,رصيد الربح الخاص بك غير كاف!
User available,User available,Usuario disponible,المستخدم متاح
to,to,a,ل
of,of,de,ل
results,results,resultados,نتائج
TRUE,TRUE,VERDADERO,حقيقي
Oops! Failed to send mail. Please recheck your mail credentials or reconfigure mail,Oops! Failed to send mail. Please recheck your mail credentials or reconfigure mail,¡Ups! No se pudo enviar el correo. Vuelva a verificar sus credenciales de correo o reconfigure el correo.,أُووبس! فشل في إرسال البريد. يرجى إعادة التحقق من بيانات اعتماد البريد الخاص بك أو إعادة تكوين البريد
). AdminRoleConst::SUPER_ADMIN .,). AdminRoleConst::SUPER_ADMIN .,). AdminRoleConst::SUPER_ADMIN .,). AdminRoleConst::SUPER_ADMIN .
Oops! Target role not found!,Oops! Target role not found!,¡Ups! ¡Rol objetivo no encontrado!,أُووبس! لم يتم العثور على الدور المستهدف!
Admin role updated successfully!,Admin role updated successfully!,¡El rol de administrador se actualizó exitosamente!,تم تحديث دور المشرف بنجاح!
Super admin role can,Super admin role can,El rol de superadministrador puede,يمكن دور المشرف المتميز
Role Permission (,Role Permission (,Permiso de rol (,إذن الدور (
Crypto Wallet Transactions,Crypto Wallet Transactions,Transacciones de billetera criptográfica,معاملات محفظة التشفير
Gold title is similar. Please update/change this title,Gold title is similar. Please update/change this title,El título de oro es similar. Por favor actualice/cambie este título,العنوان الذهبي مشابه. يرجى تحديث/تغيير هذا العنوان
Gold doesn't exists!,Gold doesn't exists!,¡El oro no existe!,الذهب غير موجود!
Plan doesn't exists!,Plan doesn't exists!,¡El plan no existe!,الخطة غير موجودة!
Your Money Out request approved by admin,Your Money Out request approved by admin,Su solicitud de retiro de dinero aprobada por el administrador,تمت الموافقة على طلب Money Out الخاص بك من قبل المشرف
successful.,successful.,exitoso.,ناجح.
Oops! Return wallet not found!,Oops! Return wallet not found!,¡Ups! ¡No se encontró la billetera de devolución!,أُووبس! لم يتم العثور على محفظة العودة!
Your Money Out request rejected by admin,Your Money Out request rejected by admin,Su solicitud de retiro de dinero rechazada por el administrador,تم رفض طلب صرف الأموال الخاص بك من قبل المشرف
Password updated successfully!,Password updated successfully!,¡Contraseña actualizada exitosamente!,تم تحديث كلمة المرور بنجاح!
Oops! User doesn't exists,Oops! User doesn't exists,¡Ups! El usuario no existe,أُووبس! المستخدم غير موجود
Your wallet balance updated by,Your wallet balance updated by,El saldo de su billetera actualizado por,تم تحديث رصيد محفظتك بواسطة
Credentials didn't match,Credentials didn't match,Las credenciales no coincidieron,بيانات الاعتماد غير متطابقة
Transaction failed. Record didn't saved properly. Please try again,Transaction failed. Record didn't saved properly. Please try again,La transacción falló. El registro no se guardó correctamente. Por favor inténtalo de nuevo,فشلت المعاملة. لم يتم حفظ السجل بشكل صحيح. يرجى المحاولة مرة أخرى
Your can invest minimum,Your can invest minimum,Puedes invertir mínimo,يمكنك استثمار الحد الأدنى
to maximum,to maximum,al máximo,إلى الحد الأقصى
Plan Purchase,Plan Purchase,Plan de compra,شراء الخطة
You have invested,You have invested,has invertido,لقد استثمرت
to purchase,to purchase,comprar,للشراء
plan.,plan.,plan.,يخطط.
Your wallet isn't available with currency (,Your wallet isn't available with currency (,Tu billetera no está disponible con moneda (,محفظتك غير متوفرة بالعملة (
Currency (,Currency (,Divisa (,عملة (
isn't available for receive any transaction,isn't available for receive any transaction,no está disponible para recibir ninguna transacción,غير متاح لتلقي أي معاملة
Receiver doesn,Receiver doesn,El receptor no,المتلقي لا
Transfer Money to,Transfer Money to,Transferir dinero a,تحويل الأموال إلى
successful,successful,exitoso,ناجح
Transfer Money from,Transfer Money from,Transferir dinero desde,تحويل الأموال من
Current password didn't match,Current password didn't match,La contraseña actual no coincide,كلمة المرور الحالية غير متطابقة
Gateway isn't available for this transaction,Gateway isn't available for this transaction,La puerta de enlace no está disponible para esta transacción,البوابة غير متاحة لهذه المعاملة
Gold Order,Gold Order,Orden de oro,طلب الذهب
Your,Your,Su,لك
order is successful,order is successful,el pedido es exitoso,النظام ناجح
Announcement doesn,Announcement doesn,El anuncio no,إعلان لا
Invalid Request. Please try again.,Invalid Request. Please try again.,Solicitud no válida. Por favor inténtalo de nuevo.,طلب غير صالح. يرجى المحاولة مرة أخرى.
Crypto Payment Address,Crypto Payment Address,Dirección de pago criptográfico,عنوان دفع التشفير
Oops! This plan is no longer available,Oops! This plan is no longer available,¡Ups! Este plan ya no está disponible,أُووبس! هذه الخطة لم تعد متوفرة
) isn\,) isn\,) es\,) ليس\
Money Out Instructions,Money Out Instructions,Instrucciones para retirar dinero,تعليمات صرف الأموال
Something went wrong! File is not detected.,Something went wrong! File is not detected.,¡Algo salió mal! El archivo no se detecta.,حدث خطأ ما! لم يتم الكشف عن الملف.
File Deleted Successfully!,File Deleted Successfully!,¡Archivo eliminado exitosamente!,تم حذف الملف بنجاح!
Cookie Allowed Success,Cookie Allowed Success,Cookie permitida exitosamente,نجاح ملفات تعريف الارتباط المسموح بها
Cookie Declined,Cookie Declined,Cookie rechazada,تم رفض ملف تعريف الارتباط
Admin | Login,Admin | Login,Administrador | Acceso,المشرف | تسجيل الدخول
Forgot Password?,Forgot Password?,¿Has olvidado tu contraseña?,هل نسيت كلمة السر؟
No data found!,No data found!,¡No se encontraron datos!,لم يتم العثور على بيانات!
TXN Type,TXN Type,Tipo TXN,نوع تي اكس ان
Sender,Sender,Remitente,مرسل
TXN Hash,TXN Hash,Hash TXN,TXN التجزئة
Asset,Asset,Activo,أصل
Chain,Chain,Cadena,سلسلة
Block Number,Block Number,Número de bloque,رقم الكتلة
"Language File (.xlsx, .csv)","Language File (.xlsx, .csv)","Archivo de idioma (.xlsx, .csv)",ملف اللغة (.xlsx، .csv)
Explain Rejection Reason,Explain Rejection Reason,Explicar el motivo del rechazo,شرح سبب الرفض
one,one,uno,واحد
Date:,Date:,Fecha:,تاريخ:
Y-m-d h:i A,Y-m-d h:i A,Y-m-d h:i A,ي-م-د ح:ط أ
two,two,dos,اثنين
Transaction ID:,Transaction ID:,ID de transacción:,معرف المعاملة:
three,three,tres,ثلاثة
Username:,Username:,Nombre de usuario:,اسم المستخدم:
four,four,cuatro,أربعة
Method:,Method:,Método:,طريقة:
five,five,cinco,خمسة
Amount:,Amount:,Cantidad:,كمية:
Charge:,Charge:,Cargar:,تكلفة:
After Charge:,After Charge:,Después de la carga:,بعد الشحن:
Rate:,Rate:,Tasa:,معدل:
double,double,doble,مزدوج
Payable:,Payable:,Pagadero:,مستحق الدفع:
Status:,Status:,Estado:,حالة:
Ex:,Ex:,Ex:,السابق:
Transacitons,Transacitons,Transacciones,Transacitons
Profit (Fixed),Profit (Fixed),Beneficio (fijo),الربح (ثابت)
Receiver Will Get:,Receiver Will Get:,El receptor obtendrá:,سوف يحصل المتلقي على:
Profile Image:,Profile Image:,Imagen de perfil:,صورة الملف الشخصي:
Instance ID,Instance ID,ID de instancia,معرف المثيل
Image:,Image:,Imagen:,صورة:
Sender Mail:,Sender Mail:,Correo del remitente:,بريد المرسل:
Receiver Mail:,Receiver Mail:,Correo del destinatario:,بريد المتلقي:
Request Amount:,Request Amount:,Monto de la Solicitud:,مبلغ الطلب:
Thumbnail Image:,Thumbnail Image:,Imagen en miniatura:,الصورة المصغرة:
401 - Unauthorized,401 - Unauthorized,401 - No autorizado,401 - غير مصرح به
Unauthorized...!,Unauthorized...!,No autorizado...!,غير مرخص...!
403 - Forbidden,403 - Forbidden,403 - Prohibido,403 - ممنوع
Forbidden...!,Forbidden...!,Prohibido...!,مُحرَّم...!
404 - Page Not Found,404 - Page Not Found,404 - Página no encontrada,404 - الصفحة غير موجودة
Page Not Found...!,Page Not Found...!,¡Página no encontrada...!,الصفحة غير موجودة...!
419 - Page Expired,419 - Page Expired,419 - Página caducada,419 - انتهت صلاحية الصفحة
Page Expired...!,Page Expired...!,¡Página caducada...!,انتهت الصفحة...!
500 - Server Error,500 - Server Error,500 - Error del servidor,500 - خطأ في الخادم
Server Error...!,Server Error...!,¡Error del servidor...!,خطأ في الخادم...!
Allow,Allow,Permitir,يسمح
Decline,Decline,Rechazar,انخفاض
All Rights Reserved.,All Rights Reserved.,Reservados todos los derechos.,جميع الحقوق محفوظة.
Process,Process,Proceso,عملية
Reject Reason :,Reject Reason :,Motivo del rechazo:,سبب الرفض :
Balance Update,Balance Update,Actualización de saldo,تحديث الرصيد
Remark,Remark,Observación,ملاحظة
Registration Bonus,Registration Bonus,Bono de registro,مكافأة التسجيل
Receive Amount,Receive Amount,Recibir cantidad,استلام المبلغ
Capital Return,Capital Return,Retorno de Capital,عائد رأس المال
Received Money From,Received Money From,Recibió dinero de,تلقى المال من
Pay With This Address,Pay With This Address,Pague con esta dirección,ادفع بهذا العنوان
Payment Received Successfully!,Payment Received Successfully!,¡Pago recibido con éxito!,تم استلام الدفع بنجاح!
Txn Hash:,Txn Hash:,Hash de transmisión:,تجزئة تكسن:
States fetch successfully!,States fetch successfully!,¡Los estados se recuperan con éxito!,جلب الدول بنجاح!
Cities fetch successfully!,Cities fetch successfully!,¡Las ciudades se recuperan con éxito!,جلب المدن بنجاح!
Status info fetch successfully!,Status info fetch successfully!,¡La información de estado se obtuvo correctamente!,تم جلب معلومات الحالة بنجاح!
Mark Delete,Mark Delete,Marcar Eliminar,علامة حذف
Export (Excel),Export (Excel),Exportar (Excel),تصدير (اكسل)
Contact Message,Contact Message,Mensaje de contacto,رسالة الاتصال
Message deleted successfully!,Message deleted successfully!,¡Mensaje eliminado exitosamente!,تم حذف الرسالة بنجاح!
Profit log fetched successfully!,Profit log fetched successfully!,¡El registro de ganancias se obtuvo correctamente!,تم جلب سجل الربح بنجاح!
Approve,Approve,Aprobar,يعتمد
Reject,Reject,Rechazar,يرفض
Login as Member,Login as Member,Iniciar sesión como miembro,تسجيل الدخول كعضو
Email Logs,Email Logs,Registros de correo electrónico,سجلات البريد الإلكتروني
User Status,User Status,Estado de usuario,حالة المستخدم
Verified,Verified,Verificado,تم التحقق منه
Are you sure to delete this role,Are you sure to delete this role,¿Estás seguro de eliminar este rol?,هل أنت متأكد من حذف هذا الدور
Remove,Remove,Eliminar,يزيل
Are you sure to delete this gold?,Are you sure to delete this gold?,¿Estás seguro de eliminar este oro?,هل أنت متأكد من حذف هذا الذهب؟
Are you sure to delete ?,Are you sure to delete ?,¿Estás seguro de eliminar?,هل أنت متأكد من الحذف؟
Are you sure to delete this plan?,Are you sure to delete this plan?,¿Estás seguro de eliminar este plan?,هل أنت متأكد من حذف هذه الخطة؟
Are you sure to approve this,Are you sure to approve this,¿Estás seguro de aprobar esto?,هل أنت متأكد من الموافقة على هذا
transaction.,transaction.,transacción.,عملية.
Are you sure to approve,Are you sure to approve,¿Estás seguro de aprobar?,هل أنت متأكد من الموافقة
KYC information.,KYC information.,Información KYC.,"معلومات ""اعرف عميلك""."
Activated,Activated,Activado,تفعيلها
Deactivated,Deactivated,Desactivado,معطل
Are you sure to delete this screen?,Are you sure to delete this screen?,¿Estás seguro de eliminar esta pantalla?,هل أنت متأكد من حذف هذه الشاشة؟
Selectable,Selectable,Seleccionable,قابل للتحديد
LTR,LTR,LTR,لتر
RTL,RTL,RTL,من اليمين إلى اليسار
ex: Level One,ex: Level One,Ej: nivel uno,على سبيل المثال: المستوى الأول
ex: 2,ex: 2,ej: 2,على سبيل المثال: 2
ex: 50,ex: 50,ej: 50,على سبيل المثال: 50
ex: 1000,ex: 1000,ejemplo: 1000,على سبيل المثال: 1000
Send Mail,Send Mail,Enviar correo,إرسال البريد
SSL,SSL,SSL,طبقة المقابس الآمنة
TLS,TLS,TLS,TLS
From Address,From Address,De la dirección,من العنوان
"ex: jpg, png, pdf","ex: jpg, png, pdf","por ejemplo: jpg, png, pdf",على سبيل المثال: JPG، PNG، PDF
ex: 6,ex: 6,Ej: 6,على سبيل المثال: 6
ex: 16,ex: 16,Ej: 16,على سبيل المثال: 16
Required,Required,Requerido,مطلوب
Are you sure to delete this message?,Are you sure to delete this message?,¿Estás seguro de eliminar este mensaje?,هل أنت متأكد من حذف هذه الرسالة؟
Disabled,Disabled,Desactivado,عاجز
Are you sure to delete this link?,Are you sure to delete this link?,¿Estás seguro de eliminar este enlace?,هل أنت متأكد من حذف هذا الرابط؟
category?,category?,¿categoría?,فئة؟
Deactive,Deactive,Desactivado,غير نشط
Are you sure to delete this announcement?,Are you sure to delete this announcement?,¿Estás seguro de eliminar este anuncio?,هل أنت متأكد من حذف هذا الإعلان؟
Are you sure to delete this item?,Are you sure to delete this item?,¿Estás seguro de eliminar este elemento?,هل أنت متأكد من حذف هذا العنصر؟
Recent Transactions,Recent Transactions,Transacciones recientes,المعاملات الأخيرة
Copied,Copied,copiado,منقول
Enter cancellation reason (optional),Enter cancellation reason (optional),Ingrese el motivo de la cancelación (opcional),أدخل سبب الإلغاء (اختياري)
Admin Profits,Admin Profits,Beneficios de administrador,أرباح الإدارة
LIVE TIME SUPERADMIN PROFITS BALANCE,LIVE TIME SUPERADMIN PROFITS BALANCE,SALDO DE GANANCIAS DEL SUPERADMIN EN TIEMPO EN VIVO,رصيد أرباح المشرف المتميز في الوقت المباشر
Hold,Hold,Sostener,يمسك
All,All,Todo,الجميع
Today,Today,Hoy,اليوم
1 week,1 week,1 semana,1 أسبوع
1 month,1 month,1 mes,شهر واحد
1 year,1 year,1 año,1 سنة
Search,Search,Buscar,يبحث
No Transactions Found!,No Transactions Found!,¡No se encontraron transacciones!,لم يتم العثور على أي معاملات!
Your KYC information is verified,Your KYC information is verified,Su información KYC está verificada,تم التحقق من معلومات KYC الخاصة بك
Your KYC information is submited. Please wait for admin confirmation. When you are KYC verified you will show your submited information here.,Your KYC information is submited. Please wait for admin confirmation. When you are KYC verified you will show your submited information here.,"Se envía su información KYC. Espere la confirmación del administrador. Cuando esté verificado por KYC, mostrará la información enviada aquí.",تم إرسال معلومات KYC الخاصة بك. الرجاء الانتظار لتأكيد المشرف. عندما يتم التحقق من KYC، ستعرض معلوماتك المقدمة هنا.
Enter Amount,Enter Amount,Ingrese el monto,أدخل المبلغ
Recipient's Will Get,Recipient's Will Get,El destinatario obtendrá,سوف يحصل المستلم
Enter Phone,Enter Phone,Ingresar teléfono,أدخل الهاتف
Enter Zip,Enter Zip,Ingresar código postal,أدخل الرمز البريدي
Enter Address,Enter Address,Introduzca la dirección,أدخل العنوان
Action,Action,Acción,فعل
appLPleaseFillOutTheField,Please Fill Out The Field,Por favor complete el campo,يرجى ملء الحقل
appLAddMoney,Add Money,Agregar dinero,أضف المال
appLMoneyOut,Money Out,Salida de dinero,المال خارج
appLSendMoney,Send Money,enviar dinero,إرسال الأموال
appLOnBoardTitle1,"Inspiring financial success, multiple investment at a time","Éxito financiero inspirador, múltiples inversiones a la vez",نجاح مالي ملهم، واستثمارات متعددة في وقت واحد
appLOnBoardTitle2,"Unlock Your Style Potential with Gold, A Masterpiece in Every Piece","Libera tu potencial de estilo con oro, una obra maestra en cada pieza",أطلق العنان لإمكاناتك في الأناقة مع الذهب، وهو تحفة فنية في كل قطعة
appLOnBoardTitle3,We keep our promise of best returns of your investment,Mantenemos nuestra promesa de obtener los mejores retornos de su inversión.,نحن نفي بوعدنا بتحقيق أفضل عوائد لاستثماراتك
appLLoginNow,Login Now,Iniciar sesión ahora,تسجيل الدخول الآن
appLRegistration,Registration,Registro,تسجيل
appLWelcome,Log in and Stay Connected,Inicie sesión y manténgase conectado,تسجيل الدخول والبقاء على اتصال
appLWelcome1,"Our secure login process ensures the  confidentiality of your information  Log in today and stay connected to your  finances, anytime and anywhere","Nuestro proceso de inicio de sesión seguro garantiza la confidencialidad de su información. Inicie sesión hoy y manténgase conectado con sus finanzas, en cualquier momento y en cualquier lugar.",تضمن عملية تسجيل الدخول الآمنة لدينا سرية معلوماتك. قم بتسجيل الدخول اليوم وابق على اتصال بأموالك، في أي وقت وفي أي مكان
appLInputEmail,Email Address,Dirección de correo electrónico,عنوان البريد الإلكتروني
appLInputPass,Password,Contraseña,كلمة المرور
appLForgetPass,Forgot Password?,¿Has olvidado tu contraseña?,هل نسيت كلمة السر؟
appLPleaseEnterCode,Please enter the code,Por favor ingresa el código,الرجاء إدخال الرمز
appLDigit6,We sent a 6-digit code to your email.Please check your mail inbox or spam.,Le enviamos un código de 6 dígitos a su correo electrónico. Revise su bandeja de entrada o correo no deseado.,لقد أرسلنا رمزًا مكونًا من 6 أرقام إلى بريدك الإلكتروني. يرجى التحقق من صندوق البريد الوارد أو البريد العشوائي.
appLSubmit,Submit,Entregar,يُقدِّم
appLResetPass,Reset Password,Restablecer contraseña,إعادة تعيين كلمة المرور
appLRestPassDet,Now you are able to reset your password.Please reset your password and try again.,Ahora puede restablecer su contraseña. Restablezca su contraseña e inténtelo nuevamente.,أنت الآن قادر على إعادة تعيين كلمة المرور الخاصة بك. يرجى إعادة تعيين كلمة المرور الخاصة بك والمحاولة مرة أخرى.
appLNewPass,New Password,Nueva contraseña,كلمة المرور الجديدة
appLConfirmPassword,Confirm Password,confirmar Contraseña,تأكيد كلمة المرور
appLResetPassword,Reset Password,Restablecer contraseña,إعادة تعيين كلمة المرور
appLCongratulation,Congratulation,Felicitaciones,تهانينا
appLCongratulationDetails,"Your password has been reset  successfully, Login now again. Thanks to  use GoldInvest.",Su contraseña se ha restablecido correctamente. Inicie sesión ahora nuevamente. Gracias por utilizar GoldInvest.,تم إعادة تعيين كلمة المرور الخاصة بك بنجاح، قم بتسجيل الدخول الآن مرة أخرى. شكرا لاستخدام GoldInvest.
appLResetForgottenPass,Reset Your Forgotten Password,Restablecer su contraseña olvidada,إعادة تعيين كلمة المرور المنسية
appLResetForgottenPassDet,Take control of your account by resetting your password. Our password recovery page guides you through the necessary steps to securely reset your password.,Tome el control de su cuenta restableciendo su contraseña. Nuestra página de recuperación de contraseña lo guía a través de los pasos necesarios para restablecer su contraseña de forma segura.,السيطرة على حسابك عن طريق إعادة تعيين كلمة المرور الخاصة بك. ترشدك صفحة استعادة كلمة المرور الخاصة بنا إلى الخطوات اللازمة لإعادة تعيين كلمة المرور الخاصة بك بشكل آمن.
appLForgotPass,Forgot Password,Has olvidado tu contraseña,هل نسيت كلمة السر
appLDonHaveAccount,Dont have account?,¿No tienes cuenta?,ليس لديك حساب؟
appLRegisterNow,Register Now,Regístrese ahora,سجل الآن
appLRegisterForAndAccount,Register for and Account  Today,Regístrese y tenga una cuenta hoy,قم بالتسجيل والحساب اليوم
appLRegistrationTitle,"Become a part of our community by registering for an account today.Enjoy a range of benefits and features tailored to meet your needs.Our registration page makes it easy to create your account, providing a seamless and user-friendly experience.","Conviértase en parte de nuestra comunidad registrándose para obtener una cuenta hoy. Disfrute de una variedad de beneficios y características diseñadas para satisfacer sus necesidades. Nuestra página de registro facilita la creación de su cuenta, brindando una experiencia fluida y fácil de usar.",كن جزءًا من مجتمعنا من خلال التسجيل للحصول على حساب اليوم. واستمتع بمجموعة من المزايا والميزات المصممة خصيصًا لتلبية احتياجاتك. تسهل صفحة التسجيل الخاصة بنا إنشاء حسابك، مما يوفر تجربة سلسة وسهلة الاستخدام.
appLFirstName,First Name,Nombre de pila,الاسم الأول
appLLastName,Last Name,Apellido,اسم العائلة
appLReferralId,Referral ID,ID de referencia,معرف الإحالة
appLIHaveAgreed,I have agreed with,he estado de acuerdo con,لقد اتفقت مع
appLAllReadyHave,Already have an account?,¿Ya tienes una cuenta?,هل لديك حساب بالفعل؟
appLHome,Home,Hogar,بيت
appLNotification,Notification,Notificación,إشعار
appLMyStatus,My Status,Mi estado,حالتي
appLHistory,History,Historia,تاريخ
appLCurrentBalance,Current Balance,Saldo actual,الرصيد الحالي
appLInvestment,Investment Amount,Monto de la inversión,مبلغ الاستثمار
appLViewAll,View All,Ver todo,عرض الكل
appLTotalProfit,Total Profit,Beneficio total,إجمالي الربح
appLLatestTransactions,Latest Transactions,Últimas transacciones,أحدث المعاملات
appLNotifications,Notifications,Notificaciones,إشعارات
appLTermsOfUse,Terms of Use,Condiciones de uso,شروط الاستخدام
appLOverview,Overview,Descripción general,ملخص
appLTotalRefers,Total Refers,Total de referencias,إجمالي المراجع
appLTotalInvested,Total Invested,Total invertido,إجمالي الاستثمار
appLReferCode,Refer Code,Código de referencia,رمز الرجوع
appLReferLink,Refer Link,Enlace de referencia,الرجوع الرابط
appLReferralUsers,Referral Users,Usuarios recomendados,مستخدمو الإحالة
appLRefId,21,21,21
appLProfitLog,Profit Log,Registro de ganancias,سجل الربح
appLTransactions,Transaction,Transacción,عملية
appLOrderLog,Order Log,Registro de pedidos,سجل الطلب
appLProfile,Profile,Perfil,حساب تعريفي
appLUpdateProfile,Update Profile,Actualizar perfil,تحديث الملف الشخصي
appLState,State,Estado,ولاية
appLCity,City,Ciudad,مدينة
appLZipCode,Zip Code,Código postal,الرمز البريدي
appLAddress,Address,DIRECCIÓN,عنوان
appLSecurity,Security,Seguridad,حماية
appLKycVerification,KYC Verification,Verificación KYC,التحقق من KYC
appLFaSecurity,2FA Security,Seguridad 2FA,2FA الأمن
appLChangePassword,Change Password,Cambiar la contraseña,تغيير كلمة المرور
appLGeneral,General,General,عام
appLHelpCenter,Help Center,Centro de ayuda,مركز المساعدة
appLPrivacyPolicy,Privacy & Policy,Política de privacidad,سياسة الخصوصية
appLAboutUs,About Us,Sobre nosotros,معلومات عنا
appLSignOut,Sign Out,Desconectar,تسجيل الخروج
appLFrontPart,Front Part,Parte Delantera,الجزء الأمامي
appLEnableTwoFaSecurity,Enable 2FA Security,Habilitar la seguridad 2FA,تمكين أمان 2FA
appLWellAskFor,We'll ask for a verification code via your security method if we notice a login from an unrecogn-ized device or browser. Enable your 2FA Security.,Le solicitaremos un código de verificación a través de su método de seguridad si detectamos un inicio de sesión desde un dispositivo o navegador no reconocido. Habilite su seguridad 2FA.,سنطلب رمز التحقق عبر طريقة الأمان الخاصة بك إذا لاحظنا تسجيل دخول من جهاز أو متصفح غير معروف. قم بتمكين أمان 2FA الخاص بك.
appLAxh3uytvpx,AXH3UYTVPXJZR2LH,AXH3UYTVPXJZR2LH,AXH3UYTVPXJZR2LH
appLEnable,Enable,Permitir,يُمكَِن
appLAmountUsd,Amount (USD),Monto (USD),المبلغ (بالدولار الأمريكي)
appLSelectPaymentGateway,Select Payment Gateway,Seleccione Pasarela de Pago,حدد بوابة الدفع
appLLimit,Limit,Límite,حد
appLCharge,Charge,Cargar,تكلفة
appLPreview,Preview,Avance,معاينة
appLRequestAmount,Request Amount,Monto solicitado,مبلغ الطلب
appLExchangeRate,Exchange Rate,Tipo de cambio,سعر الصرف
appLFees,Fees,Honorarios,مصاريف
appLTotalPayable,Total Payable,Total a pagar,مجموع المستحق الدفع
appLWillGet,Will Get,obtendrá,سوف تحصل
appLConfirm,Confirm,Confirmar,يتأكد
appLBackToDashboard,Back to Dashboard,Volver al panel,العودة إلى لوحة القيادة
appLTransactionsHistory,Transactions History,Historial de transacciones,تاريخ المعاملات
appLSelectBalanceType,Select Balance Type,Seleccione el tipo de saldo,حدد نوع الرصيد
appLReceiverEmailAddress,Receiver Email Address,Dirección de correo electrónico del destinatario,عنوان البريد الإلكتروني للمستلم
appLTransaction,Transaction,Transacción,عملية
appLGoldInvest,Gold Invest,Invertir en oro,استثمار الذهب
appLMyInvest,My Invest,Mi inversión,استثماري
appLGoldStore,Gold Store,Tienda de oro,متجر الذهب
appLInvest,Investment,Inversión,استثمار
appLDuration,Duration,Duración,مدة
appLFixedProfit,Fixed Profit,Beneficio fijo,الربح الثابت
appLPercentProfit,Percent Profit,Porcentaje de beneficio,الربح في المئة
appLProfitAmount,Profit Amount,Monto de ganancia,مبلغ الربح
appLBuyGold,Buy Gold,Comprar oro,شراء الذهب
appLDeliveryAddress,Delivery Address,Dirección de entrega,عنوان التسليم
appLSelectCountry,Select Country,Seleccionar país,اختر البلد
appLContinue1,Continue,Continuar,يكمل
appLCheckout,Checkout,Verificar,الدفع
appLProductSummary,Product Summary,Resumen del producto,ملخص المنتج
appLReceipt,Receipt,Recibo,إيصال
appLDeliveryCharge,Delivery Charge,Cargo de entrega,رسوم التوصيل
appLTotalPayableAmount,Total Payable Amount,Monto total a pagar,إجمالي المبلغ المستحق
appLPaymentType,Payment Type,Tipo de pago,نوع الدفع
appLHomeAddress,Home Address,Dirección de casa,عنوان المنزل
